N,calculated_pi,error,time
729,3.142420,0.059140,0.000012
730,3.142395,0.058994,0.000012
731,3.142424,0.059088,0.000012
732,3.142437,0.059091,0.000012
733,3.142428,0.058973,0.000012
734,3.142425,0.058898,0.000012
735,3.142460,0.058827,0.000012
736,3.142467,0.058989,0.000012
737,3.142469,0.058996,0.000012
738,3.142499,0.059056,0.000012
739,3.142512,0.058956,0.000012
740,3.142503,0.058789,0.000012
741,3.142543,0.058894,0.000012
742,3.142550,0.058785,0.000012
743,3.142493,0.058677,0.000012
744,3.142484,0.058602,0.000012
745,3.142475,0.058665,0.000012
746,3.142461,0.058743,0.000012
747,3.142495,0.058659,0.000012
748,3.142481,0.058646,0.000012
749,3.142478,0.058557,0.000012
750,3.142571,0.058564,0.000012
751,3.142562,0.058369,0.000012
752,3.142590,0.058277,0.000013
753,3.142629,0.058272,0.000013
754,3.142668,0.058221,0.000013
755,3.142697,0.058226,0.000013
756,3.142958,0.058190,0.000013
757,3.142954,0.058147,0.000013
758,3.142945,0.058140,0.000013
759,3.142941,0.058116,0.000013
760,3.142932,0.057963,0.000013
761,3.142943,0.057918,0.000013
762,3.142961,0.057873,0.000013
763,3.142967,0.057810,0.000013
764,3.143047,0.057881,0.000013
765,3.143059,0.057787,0.000013
766,3.143060,0.057713,0.000013
767,3.143066,0.057656,0.000012
768,3.143052,0.057570,0.000012
769,3.143064,0.057566,0.000012
770,3.142992,0.057503,0.000013
771,3.142973,0.057445,0.000012
772,3.142974,0.057443,0.000013
773,3.142975,0.057284,0.000013
774,3.142997,0.057274,0.000012
775,3.142988,0.057169,0.000013
776,3.142948,0.057236,0.000013
777,3.142965,0.057144,0.000012
778,3.142987,0.057031,0.000013
779,3.142942,0.056978,0.000013
780,3.142933,0.056903,0.000013
781,3.142976,0.056903,0.000013
782,3.142967,0.056898,0.000013
783,3.142994,0.056991,0.000013
784,3.142969,0.056878,0.000013
785,3.142981,0.056855,0.000013
786,3.143008,0.056763,0.000013
787,3.143019,0.056886,0.000013
788,3.143015,0.056820,0.000013
789,3.142991,0.056768,0.000013
790,3.142997,0.056739,0.000013
791,3.143014,0.056594,0.000013
792,3.143005,0.056600,0.000013
793,3.143006,0.056574,0.000013
794,3.142982,0.056470,0.000021
795,3.142999,0.056442,0.000013
796,3.142995,0.056444,0.000013
797,3.142991,0.056482,0.000013
798,3.143013,0.056454,0.000013
799,3.143044,0.056456,0.000013
800,3.143045,0.056365,0.000013
801,3.143051,0.056279,0.000013
802,3.143037,0.056179,0.000013
803,3.143049,0.056233,0.000013
804,3.143065,0.056125,0.000013
805,3.143066,0.056102,0.000013
806,3.143052,0.056050,0.000013
807,3.143068,0.056063,0.000013
808,3.143064,0.056088,0.000013
809,3.143056,0.056075,0.000013
810,3.143057,0.056102,0.000013
811,3.143097,0.056046,0.000013
812,3.143128,0.055931,0.000013
813,3.143124,0.055931,0.000013
814,3.143125,0.055792,0.000013
815,3.143107,0.055718,0.000013
816,3.143093,0.055817,0.000013
817,3.143109,0.055790,0.000013
818,3.143090,0.055764,0.000013
819,3.143077,0.055667,0.000013
820,3.143078,0.055695,0.000013
